str,vi,en,
ban_chua_nhap_ly_do,Bạn chưa nhập lý do,Reason is empty,
ban_chua_nhap_thoi_gian,Bạn chưa nhập thời gian,Time is empty,
ban_chua_chon_khung_gio,Bạn chưa chọn khung giờ,No period selected,
ban_muon_xoa_du_lieu,Bạn muốn xoá dữ liệu?,Notice,
confirm_to_remove_data,"Các thống kê sẽ thay đổi khi dữ liệu bị xoá, bạn vẫn chắc chắn muốn xoá?","Are you sure you want to delete this record?",
ban_muon_quay_lai,Bạn muốn quay lại ?,Notice,
confirm_to_back,"Dữ liệu đang nhập sẽ không được lưu lại, bạn vẫn chắc chắn muốn thoát?","Your input will not be saved, are you sure want to exit?",
van_o_lai,Vẫn ở lại,Cancel,
exit,Thoát,Exit,
chon_trong_thu_vien,Chọn trong thư viện,Select from the library,
chup_anh,Chụp ảnh,Camera,
max_image_select,Chỉ đuợc chọn tối đa 5 ảnh,Only up to 5 photos can be selected,
allowed,Cấp quyền,Grant permission,
ask_for_permission,Bạn cần cấp quyền truy cập để sử dụng tính năng này,You need to grant access to use this feature,
pick_date,Chọn ngày,Select date,
pick_time,Chọn thời gian,Select time,
bieu_do,Biểu đồ,Chart,
detail,Chi tiết,Details,
all,Tất cả,All,
truoc_an,Trước ăn,Before Meal,
sau_an,Sau ăn,After Meal,
truoc_tap,Trước tập,Before Exercise,
truoc_tap_luyen,Truớc tập luyện,Before Exercise,
sau_tap,Sau tập,After Exercise,
sau_tap_luyen,Sau tập luyện,After Exercise,
nua_dem,Nửa đêm,Midnight,
mg_dl,mg/dL,mg/dL,
mmol_l,mmol/L,mmol/L,
ngay_sinh,Ngày sinh,Day of Birth,
nam_phat_hien_benh,Năm phát hiện bệnh,Year of diagnosis,
kg,kg,Kg,
gram,g,Gram,
cm,cm,Cm,
ban_chua_nhap_ghi_chu,Bạn chưa nhập ghi chú,You haven't entered a note,
tiep_tuc,Tiếp tục,Next,
muc_tieu,Mục tiêu,Goal,
muc_tieu_moi,Mục tiêu mới,New Goal,
chon_cuong_do_van_dong,Chọn cường độ vận động,Select the exercise intensity,
cap_nhat,Cập nhật,Update,
chinh_sua,Chỉnh sửa,Edit,
khac,Khác,Other,
chon_hinh_thuc,Chọn hình thức,Select form,
kcal,kcal,Kcal,
minute,phút,Mins,
minute_upper_case_first,Phút,Minute,
hour,giờ,Hour,
hour_upper_case_first,Giờ,Hour,
single_time,lần,Time,
week_upper_case_first,Tuần,Week,
nhap_thoi_gian,Nhập thời gian,Enter time,
unit_percent,{}%,
phien_dang_nhap_het_han_vui_long_dang_nhap_lai,"Phiên đăng nhập hết hạn, vui lòng đăng nhập lại","Session expired, please login again",
cong_ty_co_phan_cong_nghe_y_te,Công ty cổ phần công nghệ y tế,Medical technology joint stock company,
or,Hoặc,Or,
chieu_cao,Chiều cao,Height,
year,năm,Year,
total,Tổng,Total,
gan_nhat,Gần nhất,Latest,
luu_thanh_cong,Lưu thành công,Saved successfully,
plan,Kế hoạch,Plan,
course,Khoá học,Course,
individual,Cá nhân,Profile,
store,Cửa hàng,Store,
list_service,Các gói dịch vụ của DiaB,Diab's service packs,
text_list_service,"Mong muốn mang đến những giá trị thiết thực cho những khách hàng của DiaB, chúng tôi đã kiến tạo 2 gói dịch vụ gồm:","Wishing to bring practical values to Diab's customers, we have created 2 service packs including:",
service_basic,Gói cơ bản,Basic pack,
service_pro,Gói Đồng hành,Companion pack,
service_premium,Gói thay đổi lối sống,Lifestyle change pack,
text_continue,Tiếp tục,Continue,
interest_course,Bạn quan tâm đến khoá học của DiaB?,Are you interested in the Diab's course?,
option_already_register,Tôi đã đăng ký nhưng chưa được học.,I have registered but not yet learned.,
option_need_more_info,Tôi cần thêm thông tin về các khoá học.,I need more information about courses.,
option_another,Khác,Other,
send,Gửi,Send,
hint_msg_to_diab,Gửi lời nhắn tới DiaB,Send a message to Diab,
interest,Quan tâm,Interest,
diab_pro,Đồng hành,Companion,
package_pro,Gói Đồng hành,Companion pack,
premium,Thay đổi lối sống,Lifestyle change,
description_diab_pro,"Gói cung cấp những tính năng chuyên sâu, hỗ trợ tốt hơn trong cuộc chiến với đái tháo đường","The pack provides in-depth features, better support in the fight with diabetes",
diab_premium,Thấu cảm,Empathy,
package_premium,Gói Thấu cảm,Empathy pack,
description_diab_basic,"Những huấn luyện viên của DiaB sẽ đồng hành cùng bạn, nhằm hỗ trợ một cách tối ưu nhất trong quá trình luyện tập.","The Diab's health coach will accompany you, in order to provide the best support during the learning process.",
ignore,Bỏ qua,Ignore,
des_1_welcome_2,Giáo trình được xây dựng bởi đội ngũ chuyên gia giàu kinh nghiệm,The curriculum is developed by a team of experienced experts,
des_2_welcome_2,"Lộ trình khoa học được thiết kế hàng tuần, phù hợp với mỗi học viên","The course schedule is designed weekly, suitable for each student",
des_3_welcome_2,Củng cố kiến thức sau mỗi bài học,Consolidate knowledge after each lesson,
des_1_welcome_3,"Có huấn luyện viên sát cánh, hỗ trợ theo hết khoá học",Health coaches accompany and support throughout the course,
des_2_welcome_3,"Hỏi đáp 24/7: Các chuyên gia luôn cố gắng giải đáp, thắc mắc",24/7 q&a: experts answer any questions,
start,Bắt đầu,Start,
upgrade_account,Nâng cấp tài khoản,Upgrade account,
see_detail,Xem chi tiết,See details,
continue_basic_package,Tiếp tục sử dụng gói cơ bản,Continue using the basic pack,
feature,Tính năng,Feature,
basic,Cơ bản,Basic,
pro,Pro,Pro,
payment,Thanh toán,Payment,
number_month,{} tháng,{} month,
number_year,{} năm,{} year,
number_course,Bài học,Lesson,
number_hour,Giờ học,Time,
period,Thời hạn:,Duration:,
total_price,Tổng tiền:,Total price:,
notice_payment,Lưu ý: Các gói sẽ được thanh toán định kỳ khi hết thời hạn sử dụng.,Note: packs will be paid periodically when the expiry time is over.,
success_story,Câu chuyện thành công,Success story,
price_per_month,{}/tháng,{} per month,
package_number_month,Gói {} tháng,Pack {} month,
how_to_register,Cách thức đăng ký,How to register,
time,Thời gian,Time,
amount,Số tiền:,Amount:,
account_number,Số tài khoản:,Account number:,
bank,Ngân hàng:,Bank:,
receiver,Người nhận:,Receiver:,
content,Nội dung:,Content:,
des_pro,Giải pháp toàn diện dành cho người mắc đái tháo đường,Comprehensive solution for people with diabetes,
morning_first_upper_case,Sáng,Morning,
noon_first_upper_case,Trưa,Noon,
evening_first_upper_case,Tối,Evening,
show_more,Xem thêm,Show more,
show_less,Thu gọn,Show less,
text_upgrade_to_pro,Bạn cần mua lại gói DiaB Pro để tiếp tục đăng ký gói Thay đổi lối sống.,You need to re-purchase the Diab pro pack to continue your lifestyle change subscription.,
upgrade_to_pro,Nâng cấp tài khoản lên gói,Upgrade account to pack,
upgrade_package_pro,Nâng cấp gói Đồng hành,Companion pack upgrade,
renewal_package_pro,Nâng cấp gói Đồng hành,Companion pack upgrade,
text_way_register_1,Bạn cần đảm bảo thời gian còn lại của gói Đồng hành được sử dụng bằng hoặc nhiều hơn thời gian kích hoạt gói Thay đổi lối sống.,You need to ensure that the remaining time of the companion pack is used equal to or more than the lifestyle change pack activation time.,
text_way_register_2,Vui lòng chuyển khoản theo hướng dẫn dưới đây để hoàn tất đăng ký gói Thay đổi lối sống.,Please transfer according to the instructions below to complete the lifestyle chage pack registration.,
my_package,Gói dịch vụ của tôi,My service pack,
text_upgrade_package,Bạn đang sử dụng gói cơ bản của DiaB. Để trải nghiệm nhiều tính năng hữu ích hãy nâng cấp gói DiaB Pro nhé!,"You are using the Diab's basic pack. to experience many useful features, please upgrade the Diab pro pack!",
history_transaction,Lịch sử mua gói,
repurchase,Mua lại,Pack purchase history,
service_price,Giá dịch vụ,Repurchase,
next_renewal,Ngày gia hạn tiếp theo,Next renewal date,
status_expired,Đã kết thúc,Expired,
status_actived,Đang diễn ra,Actived,
time_period,{}-{},
package_deactivate,Gói đã ngừng bán,Stop selling pack,
sample_menu,Thực đơn mẫu,Sample menu,
text_intro_menu,Nhằm mục đích cung cấp cho bạn một chế độ ăn hiệu quả và đầy đủ chất dinh dưỡng. Các chuyên gia từ DiaB tư vấn bạn như sau:,Aims to provide you with an effective and nutritionally complete diet. Diab's experts advise you as follows:,
step_1,Bước 1:,Step 1,
text_step_1,Nhập chỉ số KCAL và số bữa phụ bạn nạp hằng ngày,Enter your kcal index and the number of snacks you eat every day,
step_2,Bước 2:,Step 2,
text_step_2,Tuỳ chỉnh món ăn phù hợp với cá nhân bạn,Customize the dish that's right for you,
show_your_param,Cho DiaB biết thông số của bạn,Let Diab know your parameters,
or_calculate_by_formula,Hoặc tính theo công thức,Or calculate by formula,
have_3_meal,"Trong một ngày, bạn ăn 3 bữa chính và","In a day, you eat 3 main meals and",
no_sub_meal,Không bữa phụ,No snacks,
breakfast_meal,Bữa phụ sáng,Breakfast snacks,
lunch_meal,Bữa phụ xế,Lunch snacks,
dinner_meal,Bữa phụ tối,Dinner snacks,
breakfast_sub_meal,Phụ sáng,Breakfast snacks,
lunch_sub_meal,Phụ trưa,Lunch snacks,
dinner_sub_meal,Phụ tối,Dinner snacks,
text_if,Nếu đang,If you are,
increase,tăng,Gainning,
text_or,hoặc,Or,
decrease,giảm,Losing,
text_warning_change_param,"cân, hãy điều chỉnh số kcal phù hợp theo ý kiến huấn luyện viên của bạn","Weight, adjust the number of kcal accordingly according to your coach's opinion",
confirm_change,Xác nhận thay đổi?,Confirm change?,
diab_parameter,Cho DiaB biết thông số của bạn,Let Diab know your parameters,
recipe,Hoặc tính theo công thức,Or calculate by formula,
consumption,Mức tiêu thụ năng lượng của bạn đã thay đổi. Xác nhận bằng cách chọn Đồng ý để cập nhật thực đơn mẫu mới.,Your energy consumption has changed. confirm by selecting agree to update the new sample menu.,
next,Tiếp tục,Continue,
next_lesson,Tiếp theo,Next,
complete_lesson,Hoàn thành,Complete,
agree,Đồng ý,Agree,
text_congratulation,Chúc mừng bạn đã đăng ký thành công gói Đồng hành!,Congratulations on successfully signing up for the companion pack!,
text_please_bank,Vui lòng chuyển khoản theo hướng dẫn dưới đây để hoàn tất đăng ký gói Thấu cảm.,Please transfer according to the instructions below to complete the sympathy pack registration.,
text_need_2_steps_complete,Bạn cần hoàn thành lần lượt theo 2 bước sau:,You need to complete the following 2 steps in turn:,
text_notice_upgrade_premium,"Sau khi nâng cấp gói Đồng hành, bạn sẽ nhận được hướng dẫn tiếp theo để mua gói Thấu cảm.","After upgrading the companion pack, you will receive further instructions for purchasing the empathy pack.",
back_home,Quay trở về Trang chủ,Back to homepage,
not_found_sku,Không tìm thấy khoá học phù hợp. Vui lòng liên lạc với Hotline của chúng tôi,No matching courses found. please contact hotline,
knowledge_test,Trắc nghiệm kiến thức,Knowledge test,
overview_of_diabetes,Tổng quan về bệnh đái tháo đường,Overview of diabetes,
question_number,Câu {}:,Question {},
what_foods_should_people,Người bị bệnh tiểu đường nên ăn thực phẩm gì?,What foods should people with diabetes eat?,
what_should_people_with_diabetes_avoid,Người bị bệnh tiểu đường nên kiêng gì?,What should people with diabetes avoid?,
how_many_calories,Lượng calo trung bình một ngày nên nạp là bao nhiêu?,What is the average daily calorie intake for a person with diabetes?,
see_the_picture,Xem ảnh sau và cho biết đây là hình thức xét nghiệm nào?,See the picture below and tell me what kind of test this is?,
selected_normal,Selected Normal,Selected normal,
unselected_normal,Unselected Normal,Unselected normal,
congratulations_your_reply_is_correct,Chúc mừng! Bạn đã trả lời chính xác!,Congratulations! your reply is correct!,
regret_answer,Tiếc quá! Cùng thử lại một lần nữa nhé!,What a pity! let's try it again!,
check,Kiểm tra,Check,
see_the_answer,Xem đáp án,See the answer,
previous_question,Câu trước,Previous,
next_question,Câu tiếp,Next,
evaluation_of_lesson,Đánh giá bài học 1,Rating lesson 1,
rate_how_you_feel,Đánh giá cảm nhận của bạn về chất lượng của Bài học 1 để DiaB cải thiện hơn nữa nhé!,Rate how you feel about the quality of lesson 1 for Diab to improve even more!,
feeling,Cảm nghĩ,Feelings,
enter_your_feeling,Nhập cảm nghĩ của bạn,Enter your feelings,
sent_report,Gửi đánh giá,Submit a review,
completed_quiz,Hoàn tất!,Completed,
completed,Hoàn tất,Completed,
you_have_successfully_completed,Bạn đã xuất sắc hoàn tất bài quiz và trả lời đúng {} câu!,You have successfully completed the quiz and answered {} questions correctly!,
continue_learning,Tiếp tục học,Continue learning,
you_have_completed,Bạn đã hoàn tất bài quiz và trả lời đúng {} câu!,You have completed the quiz and answered {} questions correctly!,
challenge_yourself_again,Thử thách bản thân một lần nữa?,Challenge yourself again?,
skip,Bỏ qua,Skip,
accept,Đồng ý,Accept,
survey,Khảo sát,Survey,
part_number,Phần {}. Hiểu biết về bệnh đái tháo đường,Part {}. understanding diabetes,
start_survey,Bắt đầu khảo sát,Start survey,
thank_you_for_survey,Cảm ơn bạn đã hoàn thành khảo sát!,Thank you for completing the survey!,
thank_you_for_survey_description,Ý kiến đóng góp của bạn rất có giá trị và quan trọng đối với chúng tôi.,Your contributing ide is very valuable and important to us.,
survey_progress,Bạn đã hoàn thành {}% khảo sát!,You have completed {}% of the survey!,
explain,Giải thích,Explain,
book_coach,Đặt lịch coach,Booking coach,
description_book_coach,Đặt lịch tư vấn cùng chuyên gia giúp bạn có nhiều kiến thức trong quá trình chữa trị đái tháo đường,Schedule a consultation with expert to help you have a lot of knowledge in the process of diabetes treatment,
date_book,Ngày đặt lịch,Booking date,
time_book,Thời gian đặt lịch,Booking time,
submit_booking,Đặt lịch,Submit booking,
my_plan_booking,Kế hoạch của tôi,My booking plan,
join,Tham gia,Join,
coach,Coach,Coach,
you_book_coach_success,Bạn đã đặt lịch thành công!,You have successfully booking!,
booking_success,Đặt lịch thành công!,Successfully booking!,
see_booking,Xem lịch hẹn,See booking schedule,
select_time_booking_description,Bạn hãy chọn thời gian phù hợp để bắt đầu lịch tư vấn nhé!\nThời gian cho mỗi buổi tư vấn là 1 giờ.,Please choose a suitable time to start the consultation schedule! the duration of each consultation session is 1 hour.,
day_in_week_monday,Thứ hai,Monday,
day_in_week_tuesday,Thứ ba,Tuesday,
day_in_week_wednesday,Thứ tư,Wednesday,
day_in_week_thursday,Thứ năm,Thursday,
day_in_week_friday,Thứ sáu,Friday,
day_in_week_saturday,Thứ bảy,Saturday,
day_in_week_sunday,Chủ nhật,Sunday,
statistical,Thống kê,Report,
expert_comment,Nhận xét của chuyên gia,Expert's comment,
no_expert_comment,"Khi bạn tham gia các khoá học chuyên sâu của DiaB, bạn sẽ nhận được các nhận xét, khuyến nghị từ các chuyên gia DiaB.\nHiện tại bạn chưa có nhận xét, khuyến nghị nào từ các chuyên gia DiaB.","When you join the intensive courses of Diab, you will receive comments and recommendations from Diab experts. currently, you have no comments or recommendations from Diab experts.",
comment,Nhận xét,Comment,
next_action,Hành động tiếp theo,Next action,
progress,Tiến độ,Progress,
q_and_a,Hỏi đáp,Forum,
ask_doctor,Đặt câu hỏi cho bác sỹ,Post a question,
replied,Đã trả lời,Replied,
view_by_topic,Xem theo chủ đề,View by topic,
question_doctor,Hỏi đáp chuyên gia,diaB's Community,
ask_question,Đặt câu hỏi,Make a question,
select_topic,Chọn chủ đề,Select topic,
topic,Chủ đề,Topic,
your_question,Câu hỏi của bạn,Your question,
send_question,Gửi câu hỏi,Send question,
response_as_soon_as_possible,Chuyên gia của DiaB sẽ trả lời bạn trong thời gian sớm nhất.,Diab experts will reply to you as soon as possible.,
send_question_success,Gửi câu hỏi thành công!,Question submitted successfully!,
qa_title,Hỏi đáp,Forum,
delete_question,Xóa câu hỏi,Delete question,
confirm_delete_question,Bạn muốn xoá câu hỏi?,Do you want to delete question?,
confirm_delete_question_subtitle,"Câu hỏi sẽ không còn nữa, bạn chắc chắn xoá câu hỏi này chứ?","The question will be no more, are you sure to delete this question?",
confirm_delete_comment,Bạn muốn xoá bình luận?,Do you want to delete comment?,
confirm_delete_comment_subtitle,"Bình luận sẽ không còn nữa, bạn chắc chắn xoá bình luận này chứ?","The comment will be no more, are you sure to delete this comment?",
delete_comment,Xóa bình luận,Delete comment,
question_answer_title,Hỏi đáp,Forum,
no_data,Không có dữ liệu,No data,
closed,Đã đóng,Closed,
waiting,Đang chờ,Waiting,
question_empty,"Bạn chưa đặt câu hỏi nào, đừng ngại đưa những thắc mắc với DiaB nhé!","You haven't asked any questions, do not hesitate to ask questions with Diab!",
mine,Của tôi,My posts,
input_comment_required,Nhập bình luận là bắt buộc,Comments are required,
input_topic_required,Chủ đề là bắt buộc,Topic is required,
input_question_required,Nội dung câu hỏi là bắt buộc,Question is required,
no_result,Không có kết quả phù hợp,No result,
add_comment,Thêm bình luận,Add comment,
data_input_not_valid,Dữ liệu không hợp lệ,Invalid data,
food_menu_intro_title1,Thực đơn mẫu là gợi ý các món ăn theo khung năng lượng cần nạp mỗi ngày và cơ cấu dinh dưỡng khuyến nghị dành cho bữa ăn người đái tháo đường.,The sample menu is a suggestion of foods according to the energy frame to be loaded each day and the recommended nutritional structure for diabetic meals.,
food_menu_intro_title21,"Căn cứ vào thực đơn mẫu gợi ý này, bạn có thể","Based on this sample menu, you can",
food_menu_intro_title22,ĐIỀU CHỈNH,Adjust,
food_menu_intro_title23,các món ăn có mức năng lượng tương đương phù hợp.,The dishes with the appropriate energy equivalent.,
food_menu_intro_title3,Chúc bạn ăn ngon miệng và kiếm soát đường huyết thành công!,Enjoy your meal and successful blood sugar control!,
no_report,"Khi bạn tham gia các khoá học chuyên sâu của DiaB, bạn sẽ nhận được các báo cáo đánh giá từ các chuyên gia DiaB.\nHiện tại bạn chưa có báo cáo nào trong danh mục.","When you take courses of Diab, you will receive assessment reports from Diab experts. you currently have no reports in your category.",
qr_not_available,Hệ thống không xử lý,Error,
chat_with_coach,Chat với huấn luyện viên,Chat with Coach,
chat_with_group,Chat nhóm,Group chat,
today,Hôm nay,Today,
chua_hoan_thanh,Chưa hoàn thành,Incompleted,
hoan_thanh,Hoàn thành,Completed,
install_zalo,"Để bắt đầu trò chuyện, bạn sẽ được chuyển hướng để tải ứng dụng Zalo","To start chatting, you will be redirected to download the zalo app",
phone_not_available,Không tìm thấy số điện thoại của huấn luyện viên,Coach's phone number unavailable,
group_not_available,Không tìm thấy nhóm,Group unavailable,
error_redirect_zalo,Có lỗi khi chuyển hướng sang Zalo,Error when redirecting to zalo,
wrong_phone_number,Số điện thoại không hợp lệ!,Invalid phone number!,
package_experience,Gói trải nghiệm,Experience pack,
package_experience_subtitle,"Gói cung cấp những tính năng cơ bản, theo dõi chỉ số sinh học, hỗ trợ tốt hơn trong cuộc chiến với đái tháo đường","The pack provides basic features, biological index monitoring, better support in the fight with diabetes",
package_roadmap,Gói lộ trình,Route pack,
package_roadmap_subtitle,"Gói cung cấp những tính năng cơ bản, theo dõi chỉ số sinh học, hỗ trợ tốt hơn trong cuộc chiến với đái tháo đường","The pack provides basic features, biological index monitoring, better support in the fight with diabetes",
update_profile_type,Cập nhật hồ sơ,Update profile,
coaching_11,Coaching 1:1,Coach 1:1,
coaching_1n,Coaching 1:n,Coach group,
input_evaluate,Đánh giá đầu vào,Access test,
output_evaluate,Đánh giá đầu ra,Exit test,
other,Khác,Other,
contact_diab_info,Liên hệ để hỗ trợ,Contact,
month,Tháng,Month,
voucher_list,Danh sách ưu đãi,
voucher_detail,Chi tiết ưu đãi,
voucher_have,Bạn đã có [NUMBER_VOUCHER] mã ưu đãi,
use_voucher,Sử dụng mã,
view_voucher,Xem chi tiết ưu đãi,
share_now,Chia sẻ ngay,Share now,
select_your_image,Thêm hình ảnh:,
note_max_media,Lưu ý: Gửi tối đa 3 hình ảnh,
share,Chia sẻ,Share,
diab_refferal,Mời bạn bè,diaB refferal,
refferal_content,Sử dụng DiaB để biết cách ăn uống, vận động, nghỉ ngơi đúng cách cho người đái tháo đường.,Invite your friends to use diaB App with refferal code to receive hot gifts.,
add_data,Nhập chỉ số,Add Data,
no_data_index,Chưa có dữ liệu {}.\nVui lòng nhập để theo dõi tình trạng bệnh.,No Data,
filter_day,{} ngày,Past {} days,
add_photo,Thêm ảnh,Add Image,
share_app,Mời bạn bè dùng App Diab,Share diaB App,
your_voucher,Ưu đãi của bạn,Promotions,
connect_device,Kết nối thiết bị/ứng dụng,Pair Devices and Apps,
occupation,Nghề nghiệp,Occupation,
select_occupation,Chọn nghề nghiệp,Select Occupation,
education,Trình độ văn hoá,Education,
select_education,Chọn học vấn,Select Education,
interested_topics,Chủ đề quan tâm,Interested Topics,
pls_select_topics,Hãy chọn các chủ đề mà bạn quan tâm để diaB gợi ý các bài học phù hợp nhất với bạn.,Choose key words that you are interested in.,
match_coach,Tiêu chí chọn huấn luyện viên.,Match with Health Coach,
briefly_yourself,Hãy mô tả chi tiết hơn về bản thân để diaB tìm huấn luyện viên phù hợp với bạn.,Briefly describe yourself, diaB wil match you with suitable Health Coaches,
persionality,Tính cách,Persionality,
hobbies,Sở thích cá nhân,Hobbies,
favorite_sports,Môn thể thao yêu thích,Favorite Sports,
mindfulness_practices,Thực hành tâm thức,Mindfulness Practices,
religions,Thực hành tâm thức,Religions,
vegan,Ăn chay,Vegan,
available_time_slot,Khung giờ làm việc với huấn luyện viên,Available Time Slot,
choose_sports,Chọn môn thể thao,Choose Sports,
doctors,Bác sĩ giới thiệu,Doctors,
hospitals_clinics,Bệnh viện / Phòng khám,Hospitals / Clinics,
refferal_base,Cơ sở dịch vụ đã giới thiệu,Refferal,
event_share_app_title, ,
event_share_app_content, ,Gifts of 10K e-voucher for the successful referers.,
invite_now,Mời ngay,Invite Now,
input_calories,Nhập tổng calo,Total Calories,
